Year,Rank,Title,Artist
2017,1,Shape of You,Ed Sheeran
2017,2,Despacito (Remix),Luis Fonsi
2017,3,That's What I Like,Bruno Mars
2017,4,Humble,Kendrick Lamar
2017,5,Something Just Like This,The Chainsmokers
2017,6,Bad and Boujee,Migos
2017,7,Closer,The Chainsmokers
2017,8,Body Like a Back Road,Sam Hunt
2017,9,Believer,Imagine Dragons
2017,10,Congratulations,Post Malone
2017,11,Say You Won't Let Go,James Arthur
2017,12,I'm the One,DJ Khaled
2017,13,XO Tour Llif3,Lil Uzi Vert
2017,14,Mask Off,Future
2017,15,Unforgettable,French Montana
2017,16,24K Magic,Bruno Mars
2017,17,Stay,Zedd
2017,18,Wild Thoughts,DJ Khaled
2017,19,Black Beatles,Rae Sremmurd
2017,20,Starboy,The Weeknd
2017,21,Location,Khalid
2017,22,Attention,Charlie Puth
2017,23,There's Nothing Holdin' Me Back,Shawn Mendes
2017,24,Bodak Yellow,Cardi B
2017,25,Redbone,Childish Gambino
2017,26,I Don't Wanna Live Forever,Zayn
2017,27,It Ain't Me,Kygo
2017,28,iSpy,Kyle
2017,29,Issues,Julia Michaels
2017,30,Scars to Your Beautiful,Alessia Cara
2017,31,1-800-273-8255,Logic
2017,32,Slow Hands,Niall Horan
2017,33,Love on the Brain,Rihanna
2017,34,I Feel It Coming,The Weeknd
2017,35,Bounce Back,Big Sean
2017,36,Strip That Down,Liam Payne
2017,37,Fake Love,Drake
2017,38,Don't Wanna Know,Maroon 5
2017,39,Look What You Made Me Do,Taylor Swift
2017,40,Castle on the Hill,Ed Sheeran
2017,41,Bad Things,Machine Gun Kelly
2017,42,Paris,The Chainsmokers
2017,43,Side to Side,Ariana Grande
2017,44,Rockabye,Clean Bandit
2017,45,Feel It Still,Portugal. The Man
2017,46,Let Me Love You,DJ Snake
2017,47,Sorry Not Sorry,Demi Lovato
2017,48,Bank Account,21 Savage
2017,49,Can't Stop the Feeling!,Justin Timberlake
2017,50,Mi Gente,J Balvin
2017,51,Thunder,Imagine Dragons
2017,52,T-Shirt,Migos
2017,53,Rake It Up,Yo Gotti
2017,54,Mercy,Shawn Mendes
2017,55,Tunnel Vision,Kodak Black
2017,56,Rockstar,Post Malone
2017,57,In Case You Didn't Know,Brett Young
2017,58,Heathens,Twenty One Pilots
2017,59,Now or Never,Halsey
2017,60,Caroline,Aminé
2017,61,Rolex,Ayo & Teo
2017,62,DNA,Kendrick Lamar
2017,63,Juju on That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall
2017,64,Swang,Rae Sremmurd
2017,65,Passionfruit,Drake
2017,66,Loyalty,Kendrick Lamar
2017,67,Praying,Kesha
2017,68,Goosebumps,Travis Scott
2017,69,Cold,Maroon 5
2017,70,Broccoli,DRAM
2017,71,Slide,Calvin Harris
2017,72,What Ifs,Kane Brown
2017,73,Chained to the Rhythm,Katy Perry
2017,74,Feels,Calvin Harris
2017,75,All Time Low,Jon Bellion
2017,76,Hurricane,Luke Combs
2017,77,Too Good at Goodbyes,Sam Smith
2017,78,Young Dumb & Broke,Khalid
2017,79,Magnolia,Playboi Carti
2017,80,Love Galore,SZA
2017,81,Drowning,A Boogie wit da Hoodie
2017,82,Starving,Hailee Steinfeld
2017,83,Both,Gucci Mane
2017,84,What About Us,Pink
2017,85,Swalla,Jason Derulo
2017,86,Slippery,Migos
2017,87,Sign of the Times,Harry Styles
2017,88,Water Under the Bridge,Adele
2017,89,Malibu,Miley Cyrus
2017,90,Down,Marian Hill
2017,91,No Promises,Cheat Codes
2017,92,Treat You Better,Shawn Mendes
2017,93,I Get the Bag,Gucci Mane
2017,94,Small Town Boy,Dustin Lynch
2017,95,Everyday We Lit,YFN Lucci
2017,96,Havana,Camila Cabello
2017,97,What Lovers Do,Maroon 5
2017,98,Do Re Mi,Blackbear
2017,99,Look at Me!,XXXTentacion
2017,100,The Fighter,Keith Urban
