Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Outside Woman,Bloodstone,spotify:track:5LXkyjFBTomtTVquFDsWbr,0.393,0.45,6,-10.626,0,0.131,0.0216,8.21e-05,0.443,0.389,149.67,217333,3,31.32584,12
Outside Woman,Bloodstone,spotify:track:5LXkyjFBTomtTVquFDsWbr,0.393,0.45,6,-10.626,0,0.131,0.0216,8.21e-05,0.443,0.389,149.67,217333,3,31.32584,12
What's The Name Of This Funk (spider Man),Ramsey Lewis,spotify:track:7Kcim58Wq44WzjYzOjBxFr,0.55,0.902,10,-8.421,0,0.0546,0.0792,0.0064,0.0262,0.883,114.702,198907,4,34.83555,10
Lady Blue,Leon Russell,spotify:track:5iqDl3manaRsASrEauSRPw,0.625,0.316,5,-13.13,1,0.027,0.136,1e-05,0.178,0.294,82.807,211600,4,29.93792,11
I Just Wanna Stop,Gino Vannelli,spotify:track:5ljGmNLjvQZm2hw8cDJXNJ,0.581,0.548,9,-13.448,1,0.0325,0.184,0.00165,0.163,0.672,139.149,218307,4,29.32105,10
I Can't Leave Your Love Alone,Clarence Carter,spotify:track:01qWCNkkknoQktSrxjIHF8,0.694,0.445,6,-13.967,1,0.0321,0.331,0,0.0425,0.96,112.594,156893,4,25.43924,7
Corazón,Carole King,spotify:track:0v1qlRKi0ZwlQn4zK3kM4N,0.735,0.591,2,-12.11,1,0.0369,0.0662,0.275,0.2,0.922,127.55,245667,4,91.64113,9
Puppy Love,Donny Osmond,spotify:track:7HWH4kGaHR3ZwKNFPT4dSW,0.414,0.681,1,-3.992,1,0.036,0.612,7.98e-06,0.248,0.538,102.338,184973,3,34.10284,8
Teach Your Children,"Crosby, Stills, Nash & Young",spotify:track:29HaKOpeLSYvqdFyEQSRdj,0.497,0.285,2,-14.537,1,0.0264,0.643,1.66e-05,0.389,0.667,154.7,173467,4,26.64876,9
My Elusive Dreams,Charlie Rich,spotify:track:3WziO3x5pQRrwgs3SbrayN,0.574,0.426,6,-10.751,1,0.025,0.629,1.26e-05,0.164,0.47,77.446,216533,4,51.3525,9
Born To Run,Bruce Springsteen,spotify:track:6hTcuIQa0sxrrByu9wTD7s,0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,269920,4,28.06001,14
Tiny Dancer,Elton John,spotify:track:2TVxnKdb3tqe1nhQWwwZCO,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,377093,4,53.71733,14
Make Me Smile,Chicago,spotify:track:14vDlv40PzpXKBo6qmht6M,0.619,0.773,8,-7.345,1,0.063,0.129,0.0487,0.519,0.722,124.78,178933,4,19.88516,8
You're The Man (Part 1),Marvin Gaye,spotify:track:1cWYMjb1RdzVAewqxHVcBB,0.724,0.817,10,-5.825,0,0.104,0.656,1.42e-06,0.1,0.953,92.084,193440,4,29.49778,8
Disco Rufus,Stargard,spotify:track:6T5ijGkSINcoCGEejEF7fO,0.823,0.602,0,-16.175,1,0.0574,0.0268,0.00095,0.0564,0.844,120.971,198360,4,28.80764,9
Come Monday,Jimmy Buffett,spotify:track:0yje3JVMgJNZENayymCTHA,0.617,0.301,9,-15.393,1,0.0292,0.776,0,0.0914,0.664,111.527,191733,4,33.03016,8
Rock On,David Essex,spotify:track:0uPIwcT6OdJ5BAJdYkxVp9,0.676,0.292,11,-14.448,1,0.34,0.723,0.00189,0.433,0.649,74.798,204187,4,43.5017,7
Love So Right,Bee Gees,spotify:track:2rVxsVGLFssDfM5B9BUL0K,0.575,0.405,4,-13.346,1,0.0279,0.345,5.91e-05,0.645,0.558,80.983,215493,4,52.13176,9
Take Me To The River,Talking Heads,spotify:track:1oV1tu8utgHQjLJsEK9sVl,0.66,0.485,2,-8.101,1,0.0258,0.242,0.0102,0.0585,0.829,99.828,302520,4,100.8555,11
Big Yellow Taxi,Joni Mitchell,spotify:track:6UkMcAA19lTdjs22jtB7o2,0.611,0.47,4,-9.135,1,0.0356,0.579,0,0.581,0.97,85.527,134800,4,19.05546,9
Hell On Wheels,Cher,spotify:track:2Kurj5Ant5tAbjMCCoAJ52,0.736,0.666,0,-12.912,1,0.0611,0.0326,0.000105,0.138,0.572,124.291,336000,4,33.11866,13
Let Me Go To Him,Dionne Warwick,spotify:track:4xNaafNxNUJDOibIjR9ozV,0.535,0.313,11,-11.188,1,0.0278,0.633,0.000151,0.131,0.306,99.642,231507,3,43.66368,8
Worse Comes To Worst,Billy Joel,spotify:track:2kuN6PdF38xYGnggg3t9lx,0.79,0.758,0,-6.945,1,0.0393,0.453,7.56e-06,0.0285,0.961,131.72,195693,4,32.6092,11
Stay With Me,Faces,spotify:track:7fLTytvnvxy653VWxflTRf,0.458,0.869,9,-8.381,1,0.032,0.0969,0.0596,0.357,0.813,91.39,279360,4,30.76883,9
