Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
What About Now,Lonestar,spotify:track:2Fsg9at6oxnR7h6PhNcOmE,0.739,0.688,4,-5.581,1,0.0349,0.498,0,0.17,0.769,126.998,211253,4,29.67597,10
Breathe,Faith Hill,spotify:track:3y4LxiYMgDl4RethdzpmNe,0.529,0.496,7,-9.007,1,0.029,0.173,0,0.251,0.278,136.859,250547,4,43.09482,12
Amazed,Lonestar,spotify:track:6iNcyWk5iUEY7P9zeTc5hm,0.557,0.553,1,-7.954,1,0.0319,0.247,0,0.125,0.253,139.821,239987,4,33.29244,14
Hands Up,Lloyd Banks Featuring 50 Cent,spotify:track:2GlhJyZRWP3MnSXOvnovIa,0.799,0.878,1,-2.282,1,0.219,0.077,0,0.51,0.594,95.0,240213,4,30.75746,11
Jenny From The Block,Jennifer Lopez Featuring Styles & Jadakiss,spotify:track:4ZOyH6KjomjlqCz3oFqglr,0.844,0.754,6,-5.46,1,0.207,0.00833,3.42e-06,0.0575,0.961,100.002,187840,4,53.14946,7
Been There,Clint Black With Steve Wariner,spotify:track:5KPqPP8RLsmAMHu0BN0Pw1,0.637,0.867,2,-5.427,1,0.0298,0.00575,0.00798,0.0542,0.731,92.826,335200,4,29.18016,20
These Days,Rascal Flatts,spotify:track:5nWgEBtaRwVrCMjer1RtLm,0.587,0.778,7,-4.233,1,0.0343,0.31,0,0.318,0.319,81.943,254493,4,41.90845,11
I'm Glad,Jennifer Lopez,spotify:track:7AUfOfYTfiHhgg2Pw1aTpw,0.741,0.575,10,-5.416,0,0.0555,0.0398,0.127,0.0853,0.345,93.992,222040,4,59.65295,8
Show Me What You Got,JAY-Z,spotify:track:1SlPhbS52PbNqqVCqGU12I,0.41,0.957,3,-1.004,0,0.276,0.0264,0,0.283,0.425,104.973,223120,4,42.4142,10
That's What You Get,Paramore,spotify:track:1JdKrFyoU05abww0Zv0ayQ,0.528,0.831,8,-3.607,1,0.0429,9.43e-05,0,0.141,0.632,131.094,220480,3,43.32639,10
I Believe,Fantasia,spotify:track:2zZJnAlhgvW6DERn1tu3fb,0.525,0.446,8,-8.797,1,0.0308,0.357,0,0.161,0.134,133.865,302027,4,57.95096,11
Confessions Part II,Usher,spotify:track:7wBThXx7BGZHJJ3aN3OPvv,0.845,0.467,1,-7.674,1,0.138,0.0586,0,0.0694,0.702,138.007,211200,4,35.91142,9
Wings Of A Butterfly,HIM,spotify:track:5OdIePuf9dXmsJmQ98jRMp,0.432,0.776,8,-3.474,1,0.0443,0.0152,0.0153,0.834,0.667,128.038,211680,4,31.15103,9
Area Codes,Ludacris Featuring Nate Dogg,spotify:track:3lcC9CnN7Rpo1ugATzmYjY,0.86,0.687,9,-7.203,0,0.433,0.399,0,0.67,0.622,100.934,303027,4,26.76802,12
Like A Boy,Ciara,spotify:track:358bOvBiZCS9fRzNYosw6c,0.701,0.724,0,-5.751,0,0.145,0.267,0,0.0867,0.425,132.035,237053,4,74.40183,9
Falsetto,The-Dream,spotify:track:2P1e3xpjDhYFqOFeu8IWzS,0.732,0.549,0,-4.194,1,0.0312,0.163,6.01e-05,0.122,0.479,131.006,271173,4,35.30634,11
Let Me Love You,Mario,spotify:track:3ibKnFDaa3GhpPGlOUj7ff,0.656,0.578,7,-8.97,0,0.0922,0.235,0,0.118,0.556,94.514,256733,4,34.93115,9
The Business,Yung Berg Featuring Casha,spotify:track:33PowGnnFPgWSGHcGIQX1U,0.63,0.726,7,-5.372,1,0.177,0.00867,0,0.0864,0.327,133.317,253840,4,24.60232,12
"Awful, Beautiful Life",Darryl Worley,spotify:track:5uqbTKo8Ogq1sBQ3u940Xz,0.627,0.777,2,-6.91,1,0.0322,0.0189,1.09e-06,0.173,0.643,112.599,232800,4,35.66354,11
Maneater,Nelly Furtado,spotify:track:3OAGNt11NICDmi92iLuU0Z,0.795,0.784,6,-4.906,1,0.0414,0.0323,0.000444,0.138,0.714,132.76,260173,4,45.97948,12
Be With You,Enrique Iglesias,spotify:track:1lZ4j5WBURBwZ0M5TT46wP,0.69,0.871,1,-5.484,0,0.0329,0.0359,0.000843,0.0347,0.561,121.984,220160,4,42.31468,9
Deep Inside,Mary J. Blige,spotify:track:5hXIG7ldYtrTPV7Unonr8N,0.762,0.566,0,-6.749,1,0.0385,0.0341,2.73e-06,0.0779,0.666,129.28,326000,4,33.20729,15
Crazy,Javier,spotify:track:7Ddl7aYrNU9kAjXjpE5iF4,0.678,0.783,7,-4.855,0,0.0283,0.00196,0,0.0462,0.645,90.47,293053,4,28.91029,14
Show Me What I'm Looking For,Carolina Liar,spotify:track:2h8iXIwEdEnQywhFC4q5e5,0.449,0.864,9,-1.159,0,0.0378,0.0133,1.31e-06,0.0984,0.355,105.121,240467,4,31.86774,9
Toxic,Britney Spears,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,198800,4,98.85209,6
Running,No Doubt,spotify:track:3GsbGZHKjSk4PLr3HXfcoo,0.691,0.61,0,-7.023,1,0.0275,0.189,2.38e-05,0.0885,0.363,113.127,240467,4,26.2678,10
Uprising,Muse,spotify:track:4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,304840,4,39.49767,11
Oklahoma,Billy Gilman,spotify:track:2TIzsX5IvHW2ppG5PD7Qma,0.42,0.268,1,-10.217,1,0.0332,0.484,0,0.0892,0.27,138.595,244000,4,44.34768,11
Change,Taylor Swift,spotify:track:1yACRKAwlXWhXXFUSkvzhD,0.541,0.77,5,-4.17,1,0.0354,0.00408,0,0.117,0.215,96.013,280240,4,47.68918,12
Belly Dancer (Bananza),Akon,spotify:track:53mFz13R8t5edNRuSFBMyZ,0.875,0.683,10,-5.88,0,0.124,0.0336,4.61e-06,0.705,0.685,104.848,240133,4,37.88198,12
Last Day Of My Life,Phil Vassar,spotify:track:43vHo2Iis2QX3sle9o4S3g,0.557,0.549,0,-6.674,1,0.0246,0.272,0,0.109,0.268,139.945,234307,3,29.52598,11
Working Class Hero,Green Day,spotify:track:1rls1uw64JiGI2O7MZABWj,0.3,0.643,11,-6.164,0,0.0366,0.0063,1.81e-06,0.147,0.211,108.798,263733,4,40.83415,9
I'm Throwed,Paul Wall Featuring Jermaine Dupri,spotify:track:3n5rIcC04MiNx4T2GOS06g,0.739,0.777,4,-5.7,0,0.239,0.0135,0,0.134,0.756,82.01,231307,4,28.28997,11
99.9% Sure (I've Never Been Here Before),Brian McComas,spotify:track:14ymPtb1n06KzSm0J9bmMZ,0.606,0.959,7,-3.412,1,0.0522,0.0714,0,0.236,0.734,116.014,193293,4,59.85298,8
Takin' It To The Streets,Taylor Hicks,spotify:track:56EUgeYOJRnkdFaziSy92v,0.624,0.832,0,-6.78,1,0.0572,0.143,0,0.0799,0.783,145.071,217333,4,39.03508,12
Get Gone,Ideal,spotify:track:0CofintZCm8MhxiOMrauiT,0.702,0.52,10,-8.581,1,0.0725,0.435,0,0.299,0.467,120.005,275173,4,34.22461,13
Good Times,Styles,spotify:track:1poMJGPzlqJWK5jgH7USQO,0.702,0.724,6,-5.656,1,0.281,0.227,0,0.916,0.509,81.759,264680,4,34.63547,10
Don't You Forget It,Glenn Lewis,spotify:track:7vKYuqKAySUizIkcAl4Oal,0.708,0.513,6,-7.748,0,0.0888,0.118,0,0.114,0.31,89.0,248773,4,21.13532,11
Flipside,Freeway Featuring Peedi Crakk,spotify:track:3dSsqTvkWZLQ7V4y4ftFgV,0.768,0.968,6,-2.798,1,0.36,0.0974,0,0.139,0.676,99.847,236707,4,32.29675,12
