Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Love Is,Alannah Myles,spotify:track:3IYb8pVjQG77awbkC4CuBV,0.654,0.924,2,-7.44,1,0.0969,0.00309,0.00231,0.316,0.506,101.154,216107,4,20.31071,13
Face The Music,RTZ,spotify:track:2F3ENbneNRsFZ0wpbpXLZF,0.666,0.909,4,-11.076,1,0.0955,0.341,0,0.246,0.535,118.137,245907,4,47.93171,10
Biological Didn't Bother,Shaquille O'Neal,spotify:track:1XkAMb9xkBEQCwJaccjlpb,0.825,0.494,4,-9.413,0,0.201,0.283,0.00204,0.151,0.643,84.854,307307,4,58.90899,13
Temptations,2Pac,spotify:track:1PU3Hy2uNXmWGDe9gh4Ukb,0.782,0.665,1,-7.211,1,0.0754,0.135,3.15e-06,0.438,0.707,90.709,300573,4,20.3806,13
Practice What You Preach,Barry White,spotify:track:5PaTu8aN7ozpFbEb0DwEbt,0.841,0.412,7,-10.336,1,0.0445,0.0919,0,0.0908,0.661,93.65,239307,3,35.05681,9
Genie In A Bottle,Christina Aguilera,spotify:track:11mwFrKvLXCbcVGNxffGyP,0.627,0.8,1,-6.945,1,0.162,0.21,0.000123,0.137,0.912,175.815,217573,4,36.16602,11
They Want EFX,Das EFX,spotify:track:3HCzj965m8Fz2E8wZkir6q,0.755,0.459,5,-12.84,0,0.358,0.115,0,0.0851,0.597,98.454,221400,4,31.56826,10
Doin It,LL Cool J,spotify:track:4WMBl2wiGUSGa5C7tfQEAo,0.801,0.55,10,-11.044,0,0.209,0.365,0.0234,0.117,0.609,94.993,293933,4,53.7761,13
Stupid Girl,Garbage,spotify:track:0h4fRpHrxBeR3XWHmcolaU,0.59,0.802,11,-4.163,1,0.0356,0.00226,0.00143,0.0392,0.696,120.051,258133,4,24.66127,13
Losin' Myself,Debbie Gibson,spotify:track:0SPQVqpvV9EdgdGHUd1Uqj,0.715,0.623,5,-10.709,0,0.0377,0.0415,0.000266,0.0692,0.58,94.915,317627,4,80.82762,12
Gotta Be,Jagged Edge,spotify:track:5nS5mDWAyce9gjD8crHcZX,0.719,0.362,9,-11.547,1,0.0276,0.651,0,0.114,0.58,109.915,215267,4,62.32287,9
Don't Let It Go To Your Head,Brand Nubian,spotify:track:5wwLfjdiSHsgKyEO6V5rDe,0.849,0.495,6,-10.399,0,0.204,0.00243,3.53e-06,0.0722,0.666,99.872,244640,4,65.58327,8
Too Much Passion,The Smithereens,spotify:track:1ek0Z7yy6WxDfaVuyvvuPK,0.668,0.621,6,-9.601,1,0.0247,0.218,0,0.108,0.924,91.861,275733,4,46.13773,11
Right Here,SWV,spotify:track:7tUEDtHchueeUJTfEFEhii,0.615,0.72,9,-5.16,0,0.0658,0.068,0.0105,0.0889,0.696,94.002,226947,4,23.08257,12
Pink,Aerosmith,spotify:track:74uGhWp4BYpjFj1V2DzgoO,0.431,0.751,0,-5.124,1,0.0423,0.0134,4.45e-06,0.126,0.777,171.848,235360,4,69.74034,10
Life,K-Ci & JoJo,spotify:track:5GorFaKkP2mLREQvhSblIg,0.629,0.511,1,-8.651,1,0.0326,0.114,3.91e-06,0.0588,0.181,128.038,331240,4,24.89624,12
Cover Girl,New Kids On The Block,spotify:track:6CCYX0JVy5qYqUvWpCvHXh,0.721,0.765,6,-13.036,1,0.0345,0.0344,2.83e-06,0.322,0.948,119.948,241840,4,50.45903,12
Better Days (And The Bottom Drops Out),Citizen King,spotify:track:460Wn6Dq2uMviG5nPXtPnb,0.758,0.896,9,-3.311,1,0.0501,0.173,3.18e-05,0.136,0.797,94.911,207027,4,28.05165,9
Serious Kinda Girl,Christopher Max,spotify:track:2Y3299bX3dNCgtsXv2DZ67,0.77,0.596,7,-12.194,1,0.0527,0.0122,0.00311,0.0483,0.93,112.107,281800,4,26.62103,11
I'll Get By,Eddie Money,spotify:track:2zYWVAsSGYtXVemcXlKpqL,0.477,0.563,9,-6.089,1,0.0279,0.578,0,0.0702,0.19,69.964,212200,4,32.36731,8
Knockin' Da Boots,H-Town,spotify:track:6x53SJOV1PAZ8ZUwH4NFXQ,0.726,0.501,1,-13.884,0,0.154,0.155,0,0.0893,0.582,128.099,330945,4,70.51133,16
Never Enough,The Cure,spotify:track:7mMRFDHJRFjkvEoEx5u6jK,0.507,0.988,7,-3.877,1,0.133,0.0658,0.006,0.333,0.482,100.747,268200,4,65.16117,12
Monsters And Angels,Voice Of The Beehive,spotify:track:4SLY61BWDF7uZ8RcuuPDaE,0.573,0.557,9,-9.778,1,0.0283,0.000247,2.26e-05,0.271,0.519,81.536,218146,4,40.98305,8
So Much In Love,All-4-One,spotify:track:1J1Wz0UPt4NPp4MMwSJCcz,0.322,0.25,0,-11.451,0,0.03,0.892,0,0.12,0.352,137.714,212640,4,25.48661,9
Sweet November,Troop,spotify:track:36osy3lTtOYL5GYJrUYafx,0.505,0.438,2,-10.942,1,0.0447,0.237,0,0.503,0.346,60.064,286333,4,38.45745,11
Send Me On My Way,Rusted Root,spotify:track:6hs3SDnbO3f6VQuPO4KBEb,0.5,0.681,0,-9.556,1,0.0672,0.114,4.01e-05,0.139,0.745,119.46,263333,4,34.15944,14
Physical Funk,Domino,spotify:track:6nucK6yzNsXRgIa9hKKbFT,0.755,0.621,9,-7.384,1,0.394,0.00965,0,0.0927,0.621,99.453,213034,4,52.54126,6
Doin' The Do,Betty Boo,spotify:track:6jeWf72DAncUShiI537oOq,0.807,0.971,5,-7.174,1,0.0621,0.00975,2.63e-05,0.0648,0.921,120.374,220533,4,72.46848,9
Straight To Your Heart,Bad English,spotify:track:3FUnv761z4m18RjaObRxmV,0.564,0.825,8,-7.081,1,0.0365,0.0877,7.47e-06,0.246,0.585,127.112,249027,4,37.51209,12
There Goes My Baby,Trisha Yearwood,spotify:track:4ke1a35DUJFvPeqINRunaJ,0.67,0.626,0,-5.579,1,0.0236,0.479,0,0.112,0.593,108.84,233000,4,46.18147,10
Shimmy Shimmy Ya,Ol' Dirty Bastard,spotify:track:3ABG1UQTk0eLYUAeWkmfMi,0.814,0.481,0,-5.183,1,0.245,0.097,3.83e-05,0.0495,0.193,96.252,161400,4,53.08476,7
If You're Serious,Riff,spotify:track:1moqVeiFEOxtXaPNEtS3md,0.618,0.277,8,-14.381,1,0.0289,0.692,0,0.101,0.214,92.985,220707,4,33.06228,12
Tryin' To Get Over You,Vince Gill,spotify:track:2rKtSHDkql7aZuWKUdSylq,0.578,0.371,2,-10.537,1,0.0283,0.632,1.75e-05,0.165,0.188,60.504,225627,4,48.10375,8
Something In Your Eyes,Bell Biv DeVoe,spotify:track:5runzprCX4AqYLnTeo02g6,0.796,0.623,6,-9.309,0,0.0328,0.0301,6.99e-05,0.0285,0.899,128.915,292533,4,32.34123,13
Try A Little Tenderness,The Commitments,spotify:track:1gyrCSC99VmnLkkZ08zXMR,0.366,0.387,1,-13.329,0,0.0439,0.0105,8.63e-05,0.213,0.124,107.131,272667,4,29.78672,13
Do It To Me,Lionel Richie,spotify:track:1tKxrKBYIIykuLvipSWfgy,0.686,0.536,0,-9.908,1,0.0274,0.161,4.97e-05,0.063,0.558,91.503,363333,4,19.99232,15
Be My Baby Tonight,John Michael Montgomery,spotify:track:2P9Cn8LEt0mK0WD6iCYokP,0.634,0.774,9,-7.651,1,0.0384,0.226,2.16e-05,0.397,0.927,156.828,170533,4,37.1246,6
"Boom, Boom, Boom, Boom!!",Vengaboys,spotify:track:65OXGbKBQ8gUyJvUd0jNpf,0.8,0.894,6,-7.346,0,0.04,0.0108,0.437,0.0285,0.967,138.48,201840,4,26.26083,9
One Last Cry,Brian McKnight,spotify:track:3l9OCOG3Vt6c2lxeMyGSIY,0.355,0.126,11,-13.801,1,0.0301,0.909,0.000337,0.131,0.102,109.769,295358,4,25.97702,14
Dream About You/Funky Melody,Stevie B,spotify:track:77FpiIZMdHmJ2C0pyBvbBH,0.805,0.451,4,-17.401,0,0.111,0.000532,0.695,0.103,0.465,128.005,369333,4,31.39992,13
What Might Have Been,Little Texas,spotify:track:04F6rARD2mv4JiT8WglIDz,0.621,0.201,7,-15.112,1,0.0296,0.623,0,0.131,0.146,130.627,238800,4,70.46532,9
So What'cha Want,Beastie Boys,spotify:track:25pl7kV4OxafIc9wPAggYf,0.695,0.978,5,-3.556,0,0.274,0.0764,3.12e-05,0.069,0.706,171.093,217067,4,53.90938,12
Feel So Good,Mase,spotify:track:7hfRrdFJgFKK3cJ4rmkecE,0.821,0.703,11,-8.464,0,0.24,0.192,0,0.0816,0.536,105.154,203627,4,48.2157,9
Kiss Of Life,Sade,spotify:track:5bNxRtWEEUu3myoEYL9687,0.724,0.472,6,-11.298,0,0.0279,0.631,0.0374,0.0968,0.779,97.11,251333,4,45.10193,11
Come Back,Londonbeat,spotify:track:1wrb2BWcjHSij6koXArdRg,0.703,0.838,7,-9.11,0,0.0451,0.241,0,0.125,0.834,120.503,234600,4,39.94668,9
Come Back To Me,Janet Jackson,spotify:track:0NSSqYISjnav81CEn6EgBY,0.428,0.409,5,-12.346,0,0.0271,0.626,0.00961,0.138,0.0611,77.906,332742,4,25.32579,13
It's No Good,Depeche Mode,spotify:track:04ARYAWkGZZhDbHqgvnYGf,0.601,0.756,10,-6.48,0,0.0348,0.00866,0.0413,0.0821,0.185,99.096,358520,4,42.27107,15
Poison,Alice Cooper,spotify:track:5XcZRgJv3zMhTqCyESjQrF,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698,270080,4,36.90502,10
No Myth,Michael Penn,spotify:track:4SZozsPsG0vJ2Ti8BGxKsR,0.633,0.795,0,-7.617,1,0.0319,0.054,8.83e-05,0.34,0.833,103.504,250813,4,72.89685,10
"Someday (From ""The Hunchback Of Notre Dame"")",All-4-One,spotify:track:0LY1DGU1xAWJOFHTMLYBMS,0.22,0.174,6,-20.329,0,0.0307,0.378,0,0.0944,0.106,167.178,260493,3,27.05795,12
Off The Hook,Jody Watley,spotify:track:6LagclHUv5iipqMVs91yFV,0.77,0.865,3,-7.531,0,0.0686,0.0619,0.0031,0.352,0.711,126.056,512733,4,70.88854,19
A Man Holdin' On (To A Woman Lettin' Go),Ty Herndon,spotify:track:2wavvCo7vDjTy9KHrwvSFI,0.607,0.396,9,-7.944,1,0.028,0.542,1.01e-06,0.0919,0.191,128.28,218133,4,29.95778,15
Keep Warm,Jinny,spotify:track:4orOU1y1d6qfRQNFJdp3O3,0.674,0.884,0,-7.921,1,0.042,0.00243,0.0287,0.116,0.796,123.99,348507,4,31.71423,16
That's What Love Is For,Amy Grant,spotify:track:367dmPOxuMP8FsrZHenNnq,0.544,0.699,9,-4.148,1,0.0341,0.258,0,0.144,0.293,141.844,257293,4,23.45238,11
Don't Talk Just Kiss,Right Said Fred,spotify:track:3XQXG7HWyIQt6NVzePJjOQ,0.581,0.835,6,-12.596,0,0.0414,0.0416,0.227,0.21,0.755,124.006,241867,4,17.22421,10
Juicy/Unbelievable,The Notorious B.I.G.,spotify:track:14zpTN39s1y9Mb0RrXiSFC,0.885,0.721,9,-7.157,1,0.304,0.317,0,0.12,0.57,97.205,256373,4,32.46564,8
Even A Fool Can See,Peter Cetera,spotify:track:14P3TuBacyUO3Pyjg7xOpw,0.774,0.491,0,-11.6,0,0.0267,0.345,0.00987,0.326,0.685,119.565,271400,4,30.86645,14
Ain't Seen Love Like That,Mr. Big,spotify:track:0Np00vOtVvqZpHqEyYylAs,0.664,0.542,0,-8.793,1,0.027,0.706,0,0.0847,0.429,93.705,211573,4,35.6836,11
Connection,Elastica,spotify:track:53LZqMzQEnjBkFXPqOq0cD,0.684,0.694,3,-5.776,1,0.0375,0.000351,0.7,0.0496,0.882,121.342,140480,4,52.18907,5
Constant Craving,k.d. lang,spotify:track:0wCrg1LhgPcGMw51qqpI6k,0.6,0.77,5,-5.559,0,0.0302,0.0603,4.79e-06,0.0967,0.321,128.473,277240,4,31.53345,11
Everlasting Love,Tony Terry,spotify:track:36VqMzrUe5lAWgfVwaLECE,0.535,0.644,7,-11.232,1,0.0345,0.0329,0,0.104,0.629,154.062,318933,4,41.73478,13
Angeline Is Coming Home,The Badlees,spotify:track:2AMvHuDY1bEggz3ZBfmPht,0.498,0.93,9,-5.977,1,0.0371,0.000204,2.69e-05,0.145,0.757,80.575,249587,4,36.03362,9
All Along,Blessid Union Of Souls,spotify:track:4BWAfHcuiNeOW2DrtP6RbD,0.537,0.291,1,-9.619,1,0.0266,0.343,0,0.11,0.0643,76.086,234707,4,26.38504,13
Hit Me Off,New Edition,spotify:track:0yNCFwihschpOwSgK31f2O,0.72,0.719,7,-4.571,0,0.0882,0.185,0.000128,0.522,0.899,88.987,261400,4,30.30751,9
Runnin',The Pharcyde,spotify:track:0XgpiStoxq1IJncYlPrvZ5,0.768,0.787,10,-8.178,0,0.144,0.0283,0.00122,0.317,0.855,94.104,296267,4,37.35493,15
Fu-Gee-La,Fugees,spotify:track:1rJM37Dd4OcSJvzI84yCcP,0.682,0.505,1,-11.709,1,0.138,0.137,0,0.234,0.4,89.954,260067,4,61.57225,12
Do You Know (What It Takes),Robyn,spotify:track:0idCpkJ2pspfAILbanmERu,0.635,0.74,3,-4.439,0,0.0355,0.00465,0.0152,0.129,0.857,200.102,221293,4,16.14569,11
Running Back To You,Vanessa Williams,spotify:track:28zaRfdizHTtqqUXJWZjtb,0.723,0.865,5,-10.517,1,0.0451,0.0358,0.51,0.335,0.875,115.303,280000,4,36.67111,12
Feel The Groove,Cartouche,spotify:track:2XvJmJxWvSyf969vgrILy6,0.792,0.873,8,-11.034,0,0.0627,0.000429,0.39,0.183,0.667,123.019,340000,4,40.61365,17
Won't Talk About It,Beats International,spotify:track:3cgWQzRlXoDkMKBb6AEi4s,0.732,0.566,11,-15.492,0,0.0337,0.0299,0.00174,0.229,0.943,105.826,276227,4,33.67955,13
Livin' In The Light,Caron Wheeler,spotify:track:4X2yjCMHbAvCGLH4IJ2WGy,0.674,0.855,2,-8.373,1,0.0697,0.0072,0.00335,0.0545,0.567,102.94,275027,4,38.74018,17
Time And Chance,Color Me Badd,spotify:track:20DRw0Qh9ges1gjlMI8eKM,0.697,0.451,2,-7.657,1,0.0776,0.027,6.26e-06,0.13,0.249,180.53,263200,4,15.81051,16
Hillbilly Shoes,Montgomery Gentry,spotify:track:0kJeo33oWW6Nx4tkUNPshJ,0.655,0.837,7,-6.072,1,0.0355,0.0332,0.00223,0.111,0.708,115.938,192586,4,37.85231,10
Till You Love Me,Reba McEntire,spotify:track:6jMQ98D9W9gnx9ZJgk8JvS,0.404,0.405,7,-8.137,1,0.0295,0.747,0,0.0927,0.386,110.71,232160,3,23.22871,10
Call It Poison,The Escape Club,spotify:track:3lxGEScEFa9EndItaMZW2O,0.63,0.727,10,-7.256,0,0.0412,0.00237,0.000364,0.29,0.559,110.747,294427,4,29.02736,11
Jump,Kris Kross,spotify:track:27AHAtAirQapVldIm4c9ZX,0.749,0.745,2,-10.625,1,0.164,0.000501,0.00403,0.333,0.481,101.972,195107,4,47.80584,10
