Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Sinner Man,Trini Lopez,spotify:track:7q0CKuWtZgTwOaNWDGtGVf,0.657,0.656,0,-9.806,1,0.0299,0.228,0,0.162,0.961,134.977,170920,4
Wichita Lineman,Glen Campbell,spotify:track:6V9VCm1zOY2lGR80RehJ9i,0.192,0.392,5,-11.667,1,0.0328,0.326,0.000199,0.248,0.391,172.312,186200,4,34.89142,9
Nothing New (Same Old Thing),Fats Domino,spotify:track:3WgjedKdtPCwsA2qJ3IK0o,0.564,0.383,3,-9.386,1,0.0253,0.833,8.38e-06,0.0506,0.66,100.521,129227,3,19.06846,9
He Touched Me,Barbra Streisand,spotify:track:41nHzM661MpSZ2pVIXdZhB,0.243,0.347,8,-9.947,1,0.0327,0.916,0,0.178,0.201,102.429,189573,4,59.32625,8
Gimme Some Lovin',The Spencer Davis Group,spotify:track:3qCHUm73I3o5F1mDEfibzo,0.598,0.564,0,-6.454,1,0.0319,0.216,0.000204,0.277,0.43,147.62,178840,4,28.14543,8
Have I Stayed Too Long,Sonny & Cher,spotify:track:42Iq20zubSV3Ko3uAnHGRA,0.314,0.537,10,-10.627,1,0.0258,0.0846,0,0.0959,0.215,172.98,225600,4,40.16942,11
"Tonight My Love, Tonight",Paul Anka,spotify:track:0hYEYnKYQt5d0zQdUABH3V,0.545,0.66,4,-7.872,1,0.0304,0.657,0,0.634,0.884,125.069,128067,4,82.92362,4
Eternally,The Chantels,spotify:track:2y5OtQnC1UREBEiVfGxbNp,0.222,0.459,6,-6.538,1,0.0308,0.951,0.000162,0.322,0.236,178.879,165627,3,41.47399,7
Honolulu Lulu,Jan & Dean,spotify:track:5stfCnP5f0oXkCUYRLGMI8,0.512,0.813,3,-12.533,1,0.0444,0.463,0.00143,0.0767,0.9,153.751,133800,4,44.0525,7
Don't Come Knockin',Fats Domino,spotify:track:7rtkJqHIA5i5kcPnMzzBMp,0.417,0.41,10,-12.107,1,0.0369,0.305,0.000423,0.11,0.954,172.378,117493,4,36.11071,6
Back In My Arms Again,The Supremes,spotify:track:2WjW8DjQru6Ic4KvYDqLys,0.696,0.521,0,-11.168,1,0.0273,0.0182,1.47e-05,0.404,0.479,121.215,174307,4,33.36172,10
