Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
High School Nights,Dave Edmunds,spotify:track:0snjiBeMW3VI8UeNYCStTQ,0.673,0.873,2,-6.024,1,0.0483,0.121,3.37e-05,0.174,0.91,136.345,190267,4,62.02939,9
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.814,291293,4,33.49433,12
Beds Are Burning,Midnight Oil,spotify:track:1CtAzw53AIXKjAemxy4b1j,0.753,0.427,0,-11.112,1,0.0387,0.00787,0.00065,0.058,0.295,119.18,255680,4,58.94124,12
Who Will You Run To,Heart,spotify:track:2G7ttyDosjWmunOYsNRm0C,0.601,0.73,2,-11.103,1,0.0361,0.203,2e-05,0.107,0.684,116.313,246400,4,41.13252,8
Strung Out,Steve Perry,spotify:track:1bRaNLthp6QGqhErqzXBWf,0.492,0.886,4,-3.189,1,0.0652,0.0384,1.85e-05,0.177,0.623,135.777,225227,4,35.39162,10
High On You,Survivor,spotify:track:0kly0FygSDXVbvbXxsZ31S,0.659,0.714,7,-9.811,1,0.0321,0.398,1.15e-05,0.174,0.871,125.152,248200,4,23.46966,16
Sukiyaki,A Taste Of Honey,spotify:track:3FD0RyHoYObYJkBIDGra4W,0.583,0.415,3,-8.854,1,0.0301,0.827,3.39e-05,0.138,0.245,136.065,223200,4,22.53489,10
Living On The Edge,Jim Capaldi,spotify:track:5Z4Sku2Isd3b0mxzWhdago,0.799,0.644,11,-10.167,0,0.035,0.357,8.51e-05,0.0761,0.973,116.207,281347,4,26.10429,13
Man On The Corner,Genesis,spotify:track:0oZIhxPO45rQkDIMr75gK5,0.696,0.334,6,-11.246,1,0.0328,0.61,0.000355,0.0713,0.362,111.632,267427,4,35.37889,10
Shake You Down,Gregory Abbott,spotify:track:7wQ9alB79WZb0F5gFLbxSh,0.787,0.474,11,-10.384,0,0.0265,0.523,0,0.235,0.826,94.995,245413,4,22.57103,13
